@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
53,5,2,17,0,0,?
30,0,1,0,0,0,?
31,0,1,1,0,0,?
53,5,2,17,0,0,?
25,0,0,0,0,0,?
30,0,1,0,0,0,?
54,5,2,18,0,0,?
25,0,0,0,0,0,?
30,0,1,0,0,0,?
112,8,9,39,0,0,?
44,0,3,1,0,0,?
25,0,0,0,0,0,?
53,5,2,17,0,0,?
30,0,1,0,0,0,?
25,0,0,0,0,0,?
92,6,3,28,0,3,?
62,3,3,13,0,0,?
264,23,16,182,0,1,?
28,0,1,0,0,0,?
63,4,5,2,0,0,?
54,2,2,8,0,0,?
107,9,5,37,0,3,?
91,9,6,13,0,0,?
30,0,1,0,0,0,?
31,0,1,2,0,0,?
62,3,2,17,0,0,?
45,1,2,0,0,0,?
511,45,53,225,0,6,?
29,0,1,1,0,0,?
30,0,1,0,0,0,?
89,5,7,22,0,0,?
50,0,4,2,0,0,?
157,21,8,47,0,5,?
100,6,8,30,0,0,?
88,7,5,16,0,1,?
119,8,8,18,0,0,?
61,5,3,9,0,0,?
149,16,11,45,0,2,?
160,19,12,50,0,2,?
73,3,5,14,0,0,?
66,2,4,10,0,0,?
131,12,11,25,0,3,?
71,2,3,12,0,1,?
51,2,1,7,0,0,?
25,0,1,0,0,0,?
36,0,2,2,0,0,?
60,1,4,2,0,0,?
31,1,2,0,0,0,?
83,14,4,28,0,0,?
29,0,1,1,0,0,?
32,0,1,1,0,0,?
73,6,2,38,0,0,?
48,0,2,11,0,0,?
31,0,1,1,0,0,?
70,4,4,11,0,1,?
48,1,1,8,0,0,?
28,0,1,0,0,0,?
41,1,2,0,0,0,?
37,2,1,1,0,0,?
48,1,2,4,0,1,?
65,5,2,20,0,0,?
63,4,3,6,0,0,?
27,0,2,0,0,0,?
45,3,4,0,0,0,?
51,1,3,5,0,1,?
29,0,1,1,0,0,?
117,15,5,63,0,0,?
71,0,5,19,0,0,?
60,3,2,11,0,0,?
30,0,1,0,0,0,?
29,0,1,1,0,0,?
70,5,2,17,0,0,?
36,0,2,2,0,0,?
45,1,2,2,0,0,?
63,1,3,23,0,0,?
32,0,1,0,0,0,?
40,0,2,3,0,0,?
32,0,1,3,0,0,?
30,0,1,0,0,0,?
47,1,2,7,0,1,?
123,8,8,29,0,3,?
26,0,1,0,0,0,?
38,1,2,1,0,0,?
43,3,2,3,0,0,?
34,1,2,1,0,0,?
84,2,7,15,0,0,?
38,1,2,0,0,0,?
111,11,5,20,0,0,?
31,0,1,2,0,0,?
28,0,1,1,0,0,?
60,4,2,17,0,0,?
35,0,2,2,0,0,?
113,3,9,41,0,0,?
77,6,3,23,0,0,?
46,0,4,4,0,0,?
67,4,8,1,0,0,?
88,3,8,8,0,1,?
29,0,4,0,0,0,?
55,3,4,7,0,1,?
55,3,2,20,0,0,?
32,0,1,1,0,0,?
29,0,1,1,0,0,?
49,2,1,7,0,0,?
38,1,1,1,0,0,?
55,1,4,4,0,0,?
32,1,1,0,0,0,?
81,8,4,28,0,0,?
45,2,2,3,0,1,?
43,2,3,0,0,0,?
23,0,0,0,0,0,?
30,0,1,1,0,0,?
46,3,1,13,0,0,?
69,5,4,22,0,0,?
31,0,1,2,0,0,?
32,1,1,0,0,0,?
35,0,1,2,0,0,?
39,1,2,1,0,0,?
32,0,1,2,0,0,?
94,11,3,23,0,0,?
77,2,2,8,0,0,?
38,1,1,1,0,0,?
55,1,4,4,0,0,?
32,1,1,0,0,0,?
53,2,1,7,0,0,?
53,2,1,7,0,0,?
62,2,2,10,0,0,?
27,0,1,0,0,0,?
27,0,1,0,0,0,?
40,1,1,2,0,0,?
40,1,1,2,0,0,?
45,3,1,2,0,0,?
29,0,1,1,0,0,?
64,3,6,0,0,0,?
74,4,8,0,0,0,?
39,0,1,0,0,0,?
31,0,1,1,0,0,?
34,1,2,1,0,0,?
37,1,2,0,0,0,?
47,1,2,11,0,0,?
43,1,2,5,0,0,?
40,2,1,3,0,0,?
30,0,1,0,0,0,?
29,0,1,1,0,0,?
40,2,1,7,0,0,?
73,2,5,11,0,0,?
95,4,5,8,0,3,?
29,0,2,0,0,0,?
70,3,9,1,0,0,?
68,1,5,21,0,0,?
54,2,1,8,0,0,?
47,2,4,0,0,0,?
30,0,1,1,0,0,?
36,1,2,2,0,0,?
36,1,2,2,0,0,?
175,16,18,104,0,0,?
85,6,4,25,0,0,?
92,9,4,22,0,0,?
42,0,2,3,0,0,?
34,0,1,3,0,0,?
61,0,2,37,0,0,?
29,0,1,1,0,0,?
71,6,2,5,0,0,?
38,1,1,4,0,0,?
29,0,1,1,0,0,?
77,11,2,16,0,0,?
37,1,1,2,0,0,?
25,0,1,0,0,0,?
99,6,5,27,0,0,?
32,0,1,2,0,0,?
29,0,1,1,0,0,?
70,4,4,11,0,1,?
34,0,1,1,0,0,?
43,1,2,3,0,0,?
32,1,1,0,0,0,?
60,3,2,11,0,0,?
30,0,1,0,0,0,?
29,0,1,1,0,0,?
38,2,1,4,0,0,?
45,3,2,5,0,0,?
32,1,1,0,0,0,?
74,4,3,25,0,0,?
71,4,3,17,0,0,?
71,4,3,20,0,0,?
135,14,8,58,0,0,?
211,27,13,144,0,0,?
73,4,3,13,0,0,?
85,6,4,33,0,0,?
100,8,5,38,0,0,?
90,5,4,22,0,0,?
33,0,1,2,0,0,?
83,3,6,6,0,0,?
39,0,2,4,0,0,?
34,1,2,1,0,0,?
31,0,1,3,0,0,?
37,1,2,0,0,0,?
48,1,1,2,0,0,?
29,0,1,1,0,0,?
86,3,5,38,0,0,?
54,2,4,0,0,0,?
51,1,4,7,0,0,?
45,2,2,8,0,1,?
80,3,3,18,0,0,?
29,0,1,1,0,0,?
131,9,7,29,0,1,?
53,3,6,1,0,0,?
88,2,5,11,0,0,?
82,2,5,12,0,0,?
87,6,6,21,0,1,?
35,1,1,0,0,0,?
35,1,1,0,0,0,?
23,0,1,0,0,0,?
38,2,1,0,0,0,?
45,1,2,3,0,0,?
68,4,3,18,0,0,?
29,1,1,0,0,0,?
29,0,1,1,0,0,?
49,2,2,4,0,1,?
48,2,1,3,0,0,?
29,0,2,0,0,0,?
44,3,3,1,0,0,?
62,1,2,17,0,0,?
117,15,5,63,0,0,?
78,0,5,21,0,0,?
66,4,2,25,0,0,?
32,0,1,1,0,0,?
29,0,1,1,0,0,?
62,3,2,19,0,0,?
36,0,2,2,0,0,?
47,2,1,3,0,0,?
53,1,3,11,0,0,?
39,2,1,1,0,0,?
